"oclc编号 - oclcNumber","书号 - isbns","书名 - title","作者 - creator","出版日期 - publicationDate","语言 - catalogingLanguage","格式 - generalFormat","详细格式 - specificFormat","版本 - edition","总版本数 - totalEditions","出版社 - publisher","出版地 - publicationPlace","主题 - subjects","简介 - summaries","是否同行审阅 - peerReviewed"
"1028601402","9787020133277,7020133274","麻将与跳舞","王安忆, 1954- author","2018","chi","Book","PrintBook",,2,"人民文学出版社","Beijing Shi","Chinese literature 20th century History and criticism,Littérature chinoise 20e siècle Histoire et critique,Zhong guo wen xue Dang dai wen xue Wen xue ping lun Wen ji,Chinese literature,Criticism, interpretation, etc,1900-1999","Ben shu nei rong bao gua "" zhi shi de pi ping "" "" nan yin pu bei diao "" "" di mu de jing shen "" "" zi jue yu bu zi jue zhi jian "" "" ji shi yu xu gou "" "" jing cheng shi kai "" "" fu xing shi qi de ai qing "" "" qi yue zai ye, ba yue zai yu "" "" ke zhou qiu jian ren "" "" xun zhao luo wu zhe "" "" jie mi "" "" ma jiang yu tiao wu "" "" gui qu lai "" deng,本书编入王安忆文学评论15篇,包括《知识的批评》《南音谱北调》《地母的精神》《自觉与不自觉之间》《纪实与虛构》《精诚石开》《复兴时期的爱情》《七月在野,八月在宇》《刻舟求剑人》《寻找落伍者》《解密》《麻将与跳舞》《归去来》等","否"
"1290828582","9787020160587,7020160581","一切境","庆山, 1974- author","2021","chi","Book","PrintBook","Beijing di 1 ban",2,"人民文学出版社","Beijing Shi","Chinese essays 21st century,Essais chinois 21e siècle,Chinese essays,Chinese language materials,Essay,essays,Essays,Essais,2000-2099","本书将自我与万物之间的关联与映照一一记录,让生命本身的律动以一种极为宁静而饱满的方式呈现,它是作者坦露自我内在的纯然之作.书中留下了作者最近几年生命活动的痕迹与标记","否"
"1114279279","9787020151899,7020151892","路遥的时间 : 见证路遥最后的日子","航宇, 1964- author","2019","chi","Book","PrintBook","Beijing di 1 ban",4,"人民文学出版社","Beijing Shi","Lu, Yao, 1949-1992,Authors, Chinese 20th century Biography,Écrivains chinois 20e siècle Biographies,Chuan ji wen xue Zhong guo Dang dai,Authors, Chinese,Biographies,1900-1999","这是路遥生命最后的时光. 在""平凡的世界""获得茅盾文学奖后, 这位风光无限, 雄心万丈的著名作家, 却突然患上严重疾病. 在生命最后的日子里, 他不仅承受着十分难挨的病痛折磨, 还接连经历了经济拮据, 婚姻破裂, 兄弟失和等等人间痛苦. 作者航宇是路遥的同事, 朋友, 在路遥生命最后的两年, 他如亲人般陪伴照顾路遥, 也见证了路遥最后的沉重, 抗争和无奈","否"
"1273933063","9787020167623,7020167624","明清戲曲序跋纂笺","郭英徳, 1954- author","2021","chi","Book","PrintBook","Beijing di 1 ban",1,"人民文學出版社","Beijing Shi","Chinese drama Ming dynasty, 1368-1644 History and criticism,Chinese drama Qing dynasty, 1644-1912 History and criticism,Ju qu History and criticism,Prefaces,Prologues and epilogues,Théâtre chinois 1368-1644 (Dynastie des Ming) Histoire et critique,Théâtre chinois 1644-1912 (Dynastie des Qing) Histoire et critique,Juqu Histoire et critique,Préfaces,Prologues et épilogues,prefaces,Chinese drama,Chinese drama Ming dynasty,Ju qu,Qing Dynasty (China),Criticism, interpretation, etc,1368-1912","","否"
"1082298435","9787020122349,7020122345","鲁迅影集 : 1881-1936","黄乔生, author","2018","chi","Book","PrintBook","Beijing di 1 ban",1,"人民文学出版社","Beijing","Lu, Xun, 1881-1936,Luxun, (1881-1936) Shengpingshiji Sheyingji,Authors, Chinese 20th century Biography,Écrivains chinois 20e siècle Biographies,Authors, Chinese,China Biography Portraits,China,Biographies,Portraits,1900-1999","本书收录鲁迅一生全部照片, 均系原版, 原貌印制, 一幅一面, 背后辅以最为准确精当之图注; 具有很高的观赏价值, 研究价值和收藏价值","否"
"1039318375","9787020138777,7020138772","中国戏曲剧种研究 = A study on the genre of traditional Chinese operas","朱恒夫, author","2018","chi","Book","PrintBook","Beijing di 1 ban",2,"人民文学出版社","Beijing Shi","Chinese drama History and criticism,Folk drama, Chinese History and criticism,Theater China History and criticism,Théâtre chinois Histoire et critique,Théâtre populaire chinois Histoire et critique,Théâtre Chine Histoire et critique,Chinese drama,Folk drama, Chinese,Theater,China,Criticism, interpretation, etc","""中国戏曲剧种研究""为国家社科基金成果文库项目成果, 对中国剧种做了全面的研究, 不仅包括京剧,越剧,昆曲,豫剧等大剧种, 还涵盖了高腔戏,拉魂腔,滩簧腔,道情戏,花灯戏,花鼓戏,采茶戏等具有地方色彩的小剧种, 并对这些剧种的起源,发展,艺术特色,代表剧目,代表演员等方面做了深入的研究","否"
"1117282409","9787020147502,702014750X","庄一拂《古典戏曲存目汇考》补正 = General textual criticism of The extant titles of classical Chinese opera, revised edition by Zhuang Yifu","赵兴勤, author","2019","chi","Book","PrintBook","Beijing di 1 ban",2,"人民文学出版社","Beijing Shi","Zhuang, Yifu,Qu (Chinese literature) Bibliography,Ju qu Bibliography,Qu (Littérature chinoise) Bibliographie,Juqu Bibliographie,Gu dai xi qu Zhuan ti mu lu Zhong guo,Ju qu,Qu (Chinese literature),catalogs (documents),Catalogs,Bibliographies,Catalogues","1982年出版的庄一拂""古典戏曲存目汇考""是迄今为止规模较大的一部古典戏曲总目,汇集戏曲4750余种,极具参考价值.由于条件所限,该书也存在一些疏漏之处.本书在学界最新研究成果基础上,对'庄目'进行了全面订讹,增补.书分上下两编,上编为'庄目'已收曲目辨正130种,已收曲家辨正133人;下编为'庄目'未收曲目增补250种,未收曲家增补35人.本书将对'庄目'乃至古代戏曲文献的研究起到助推作用","否"
"1038233881","9787020136940,702013694X","《封神演义》考论 = The studies of creation of the gods","李亦辉, 1974- author","2018","chi","Book","PrintBook","Beijing di 1 ban",3,"人民文学出版社","Beijing Shi","Feng shen yan yi Criticism, Textual,""feng shen yan yi "" Xiao shuo yan jiu,Feng shen yan yi,Criticism, interpretation, etc","本书以正统叙事与民间叙事的冲突融合为切入点, 主要讨论了殷商之际的历史及其在正统叙事与民间叙事中的不同表现 ,""武王伐纣平话"" 的民间叙事特征及其成因, ""列国志传"" 卷一由民间叙事向正统叙事嬗变的过渡性叙事特征 ,""封神演义"" 故事的由来, 成书, 版本, 编者问题以及其整体文化特征与政治伦理观等. 对 ""封神演义"" 做了由源及流的全面, 系统, 深入的研究","否"
"1280555344","9787020136100,7020136109","紅樓夢新談 : 吴宓红学论集","吴宓, 1894-1978, author","2021","chi","Book","PrintBook","Beijing di 1 ban",1,"人民文学出版社","Beijing Shi","Cao, Xueqin, approximately 1717-1763,Hong lou meng (Cao, Xueqin)","","否"
"1083582092","9787020143160,7020143164","陳恭尹集","陳恭尹, 1631-1700, author","2018","chi","Book","PrintBook","Beijing di 1 ban",1,"人民文學出版社","Beijing Shi","Zhong guo wen xue Gu dian wen xue Zuo pin zong he ji Qing dai","Ben shu dian xiao le ming mo qing chu "" ling nan san da jia "" zhi yi de chen gong yin de zuo pin, yi guo tu cang kang xi wu shi qi nian chen shi wan cheng tang kan ben "" du lu tang ji "" wei di ben, xiao yi zhong shan tu shu guan cang kang xi shi san nian ke ben "" du lu tang gao "" , ling ju xuan tong ben zeng bu xu pian","否"
