"oclc编号 - oclcNumber","书号 - isbns","书名 - title","作者 - creator","出版日期 - publicationDate","语言 - catalogingLanguage","格式 - generalFormat","详细格式 - specificFormat","版本 - edition","总版本数 - totalEditions","出版社 - publisher","出版地 - publicationPlace","主题 - subjects","简介 - summaries","是否同行审阅 - peerReviewed"
"1152144025","9787559445230,7559445233","活着, 就要尽兴","蔡澜, author","2020","chi","Book","PrintBook","Di 1 ban",2,"江苏凤凰文艺出版社","Nanjing Shi","Chinese essays 21st century,Essais chinois 21e siècle,Chinese essays,2000-2099","","否"
"1262723607","9787559458742,7559458742","人生从容 = The calm life","贾平凹, author","2021","chi","Book","PrintBook","Di 1 ban",4,"江苏凤凰文艺出版社","Nanjing Shi","Chinese essays 20th century,Essais chinois 20e siècle,Chinese essays,Chinese language materials,1900-1999","","否"
"1152144528","9787559444837,7559444830","巴黎记","于坚, 1954- author","2020","chi","Book","PrintBook","Di 1 ban",2,"江苏凤凰文艺出版社","Nanjing Shi","Chinese essays 21st century,Essais chinois 21e siècle,Chinese essays,Literature,Manners and customs,Travel,Paris (France) In literature,Paris (France) Description and travel,France Social life and customs,Paris (France) Descriptions et voyages,France Mœurs et coutumes,France,France Paris,2000-2099","","否"
"1078141891","9787559419798,7559419798","中国当代文学史","张炯","2018","chi","Book","PrintBook","Di 1 ban",2,"江苏凤凰文艺出版社","Nanjing Shi","Chinese literature 21st century History and criticism,Littérature chinoise 21e siècle Histoire et critique,Chinese literature,Criticism, interpretation, etc,2000-2099","Detailed summary in vernacular field","否"
"1106370801","9787559431912,7559431917","再孤单的人也有同类","余光中, 1928-2017, author","2019","chi","Book","PrintBook","Di 1 ban",2,"江苏凤凰文艺出版社","Nanjing","Chinese essays 20th century,Chinese essays 21st century,Essais chinois 20e siècle,Essais chinois 21e siècle,San wen ji Zhong guo Dang dai,Chinese essays,1900-2099","","否"
"1300853344","9787559439017,7559439012","孤鹰","邵雪城","2019","chi","Book","Digital",,5,"江苏凤凰文艺出版社","[S.I.]","Fiction,Short Stories","从各个方面成绩来看都不是很出色的普通军校生秦川和战友宁志、郑勇被选入神秘的""特案组"",他们在一起进行残酷集训,建立了非一般的友谊和默契。在他们激情满满地执行第一次任务时,却遭遇惨败,郑勇牺牲,宁志重伤,秦川险被""退回""。就在这时,秦川接到了上级命令,前往""金三角"",配合在那里埋伏的程建邦接近大毒枭周亚迪,从此开启了一场残酷的特殊任务。周亚迪当时在监狱中,程建邦本打算通过抢劫入狱来接近他,没想到却在实施计划时,被人截胡,只被判了个""抢劫未遂"",被关入了另一所监狱。接近周亚迪的任务落在了初来乍到的秦川身上,可是他下手过重,被判处死刑,好在没","否"
"1338316018","9787559465313,7559465315","人间有所寄","王蒙, 1934- author","2022","chi","Book","PrintBook","Di 1 ban",2,"江苏凤凰文艺出版社","Nanjing","Chinese essays 21st century,Essais chinois 21e siècle,Chinese essays,Chinese language materials,Essays,2000-2099","","否"
"1082240360","9787539994857,7539994851","我的四季","张洁, 1937- author","2019","chi","Book","PrintBook","Di 1 ban",2,"江苏凤凰文艺出版社","Nanjing Shi","Chinese essays 20th century,Essais chinois 20e siècle,Chinese essays,1900-1999","","否"
"1055676596","9787559410696,7559410693","无用的美好","叶兆言, 1957- author","2018","chi","Book","PrintBook","Di 1 ban",2,"江苏凤凰文艺出版社","Nanjing Shi","Chinese essays 21st century,Essais chinois 21e siècle,Chinese essays,essays,Essays,Essais,2000-2099","","否"
"1090092529","9787559428479,7559428479","猛兽总是独行 : 鲁迅与他的朋友圈","孙玉祥, author","2018","chi","Book","PrintBook","Di 1 ban",3,"江苏凤凰文艺出版社","Nanjing Shi","Lu, Xun, 1881-1936 Criticism and interpretation,Lu, Xun, 1881-1936,Criticism, interpretation, etc","","否"
"1125022900","9787559430786,7559430783","痖弦回忆录","痖弦, narrator","2019","chi","Book","PrintBook","Di 1 ban",1,"江苏凤凰文艺出版社","Nanjing Shi","Yaxian,Yaxian Huiyilu,Poets, Chinese Taiwan Biography,Poètes chinois Taiwan Biographies,Poets, Chinese,Taiwan,Autobiography,Biography,autobiographies (literary works),Autobiographies,Biographies","全书分三个部分:双村记, 从军记, 创世纪.分别记录了痖弦对故乡河南南阳的记忆, 参军的过程及军中生活, 以及文学艺术活动中所交集的诸多名人, 堪称中国台湾文化圈的联络图.书中涉及到近百位两岸名人不曾为人知的故事和生动细节, 既有很强的可读性, 又有宝贵的史料价值.除了文化界, 书中对其他各界人和事也有所涉猎, 作者与蒋经国, 孙立人, 盛世才等一大批名人的近距离接触在书中也有呈现.作者情牵两岸, 所表达的浓浓的大中国情怀令人感动, 是一本沟通两岸民心的深情之作","否"
